name,session,condition,band,channel,erds
cho,1,0back,theta,F3,-96.11040025232231
cho,1,0back,theta,F4,6.711849277678407
cho,1,2back,theta,F3,-36.597153496844676
cho,1,2back,theta,F4,-31.14196551913703
cho,1,3back,theta,F3,-7.04630348524205
cho,1,3back,theta,F4,-8.943732123773
cho,1,0back,alpha,P7,66.63443352212495
cho,1,0back,alpha,P8,69.4285826824386
cho,1,2back,alpha,P7,64.6252151473831
cho,1,2back,alpha,P8,74.59209750696184
cho,1,3back,alpha,P7,59.249587554091676
cho,1,3back,alpha,P8,70.66428864040068
cho,2,0back,theta,F3,59.22670596862753
cho,2,0back,theta,F4,18.550148801600113
cho,2,2back,theta,F3,46.15865540104153
cho,2,2back,theta,F4,1.957133415463306
cho,2,3back,theta,F3,46.05404641086635
cho,2,3back,theta,F4,-0.27793867310659637
cho,2,0back,alpha,P7,68.29409800861971
cho,2,0back,alpha,P8,76.66748776808258
cho,2,2back,alpha,P7,69.07688536229104
cho,2,2back,alpha,P8,78.69858677910321
cho,2,3back,alpha,P7,63.627718148198554
cho,2,3back,alpha,P8,80.84651694800212
cho,3,0back,theta,F3,24.203554547835264
cho,3,0back,theta,F4,30.248520425160287
cho,3,2back,theta,F3,-2.0370101327260977
cho,3,2back,theta,F4,15.309517399268946
cho,3,3back,theta,F3,-5.1186744385392835
cho,3,3back,theta,F4,-9.475307020718828
cho,3,0back,alpha,P7,65.29597474660834
cho,3,0back,alpha,P8,77.4990451473757
cho,3,2back,alpha,P7,64.78764628056511
cho,3,2back,alpha,P8,78.98421628836518
cho,3,3back,alpha,P7,64.37932600436767
cho,3,3back,alpha,P8,77.78859262892873
taek,1,0back,theta,F3,3.1007723480659846
taek,1,0back,theta,F4,-11.54677387283952
taek,1,2back,theta,F3,-8.009591491366487
taek,1,2back,theta,F4,-51.06461282441591
taek,1,3back,theta,F3,1.5400372650504512
taek,1,3back,theta,F4,-36.23111596501507
taek,1,0back,alpha,P7,22.368658706129
taek,1,0back,alpha,P8,-10.063347745664236
taek,1,2back,alpha,P7,-12.359463268602967
taek,1,2back,alpha,P8,-11.489215664269153
taek,1,3back,alpha,P7,0.6987907277530053
taek,1,3back,alpha,P8,-12.19837259478869
taek,2,0back,theta,F3,-12.246931888173807
taek,2,0back,theta,F4,-31.20416315058086
taek,2,2back,theta,F3,-38.40114783347937
taek,2,2back,theta,F4,-34.07404468609383
taek,2,3back,theta,F3,-67.21746465689145
taek,2,3back,theta,F4,-29.124177912493547
taek,2,0back,alpha,P7,11.897617171349308
taek,2,0back,alpha,P8,9.584547298241121
taek,2,2back,alpha,P7,-9.992206872277102
taek,2,2back,alpha,P8,-2.743701824565017
taek,2,3back,alpha,P7,-7.627019126704263
taek,2,3back,alpha,P8,11.496326450659048
taek,3,0back,theta,F3,-54.51703358002743
taek,3,0back,theta,F4,-5.84347305015536
taek,3,2back,theta,F3,-76.86801317314426
taek,3,2back,theta,F4,-19.518900322106113
taek,3,3back,theta,F3,-79.15426126365867
taek,3,3back,theta,F4,2.906697146157615
taek,3,0back,alpha,P7,-2.530570709972636
taek,3,0back,alpha,P8,7.260499987585687
taek,3,2back,alpha,P7,-0.034064985418313126
taek,3,2back,alpha,P8,-29.579584213513627
taek,3,3back,alpha,P7,-41.69041623799902
taek,3,3back,alpha,P8,-83.71504811072434
choi,1,0back,theta,F3,-8.26373297990464
choi,1,0back,theta,F4,-43.14336552214481
choi,1,2back,theta,F3,-14.904195187777727
choi,1,2back,theta,F4,-21.989088639698913
choi,1,3back,theta,F3,20.21174305621605
choi,1,3back,theta,F4,18.70781007467261
choi,1,0back,alpha,P7,49.172334705002676
choi,1,0back,alpha,P8,41.78802679434146
choi,1,2back,alpha,P7,83.43425595251783
choi,1,2back,alpha,P8,58.96536533612331
choi,1,3back,alpha,P7,82.08695098083271
choi,1,3back,alpha,P8,65.22170484813941
choi,2,0back,theta,F3,-3.180763410720856
choi,2,0back,theta,F4,24.57632382777947
choi,2,2back,theta,F3,-26.497735911306368
choi,2,2back,theta,F4,9.563832166139887
choi,2,3back,theta,F3,-0.4475390837879211
choi,2,3back,theta,F4,33.118327483249345
choi,2,0back,alpha,P7,63.87432602996298
choi,2,0back,alpha,P8,74.4955094835479
choi,2,2back,alpha,P7,76.61216364542896
choi,2,2back,alpha,P8,71.56837879713882
choi,2,3back,alpha,P7,71.73217086224855
choi,2,3back,alpha,P8,73.19098584724085
choi,3,0back,theta,F3,-28.111287406198986
choi,3,0back,theta,F4,-10.13366573319057
choi,3,2back,theta,F3,-1.6879625801145648
choi,3,2back,theta,F4,38.33734810598216
choi,3,3back,theta,F3,-6.974656298501407
choi,3,3back,theta,F4,29.262573003442956
choi,3,0back,alpha,P7,49.26300976603658
choi,3,0back,alpha,P8,50.84067034532279
choi,3,2back,alpha,P7,59.42732799876352
choi,3,2back,alpha,P8,56.920683342545196
choi,3,3back,alpha,P7,59.16985630980357
choi,3,3back,alpha,P8,50.5372533205858
jung,1,0back,theta,F3,54.564679050171215
jung,1,0back,theta,F4,79.58919102536527
jung,1,2back,theta,F3,26.13109012816459
jung,1,2back,theta,F4,79.29318044753285
jung,1,3back,theta,F3,-68.50121754439687
jung,1,3back,theta,F4,77.51199112074663
jung,1,0back,alpha,P7,76.71909518826705
jung,1,0back,alpha,P8,56.94087373440087
jung,1,2back,alpha,P7,77.16206657845575
jung,1,2back,alpha,P8,57.34176537291745
jung,1,3back,alpha,P7,71.97758847138778
jung,1,3back,alpha,P8,37.965253027332594
jung,2,0back,theta,F3,-13.957927277930885
jung,2,0back,theta,F4,13.197547355626918
jung,2,2back,theta,F3,5.234146370256453
jung,2,2back,theta,F4,4.033794662412955
jung,2,3back,theta,F3,-32.984252170962044
jung,2,3back,theta,F4,-2.900981846864565
jung,2,0back,alpha,P7,29.75101572959618
jung,2,0back,alpha,P8,12.383673712023299
jung,2,2back,alpha,P7,48.69704043953669
jung,2,2back,alpha,P8,54.16701239807411
jung,2,3back,alpha,P7,21.399623456841894
jung,2,3back,alpha,P8,33.867908435841
jung,3,0back,theta,F3,-0.6216286106391736
jung,3,0back,theta,F4,-26.50844180019857
jung,3,2back,theta,F3,17.803430630541037
jung,3,2back,theta,F4,-13.781862924693941
jung,3,3back,theta,F3,29.8963691993793
jung,3,3back,theta,F4,-15.830000462883556
jung,3,0back,alpha,P7,-23.164899551844535
jung,3,0back,alpha,P8,-23.492388402120856
jung,3,2back,alpha,P7,34.02940662214005
jung,3,2back,alpha,P8,39.329797162733705
jung,3,3back,alpha,P7,30.482790180176117
jung,3,3back,alpha,P8,35.4941369665238
song,1,0back,theta,F3,9.536754909005282
song,1,0back,theta,F4,-5.751885333980267
song,1,2back,theta,F3,-26.13872444121305
song,1,2back,theta,F4,7.074876274669363
song,1,3back,theta,F3,1.0406589213604922
song,1,3back,theta,F4,25.054808443853965
song,1,0back,alpha,P7,6.878586735560694
song,1,0back,alpha,P8,-22.387477422371994
song,1,2back,alpha,P7,2.547412753396509
song,1,2back,alpha,P8,-71.24318535809992
song,1,3back,alpha,P7,42.09755047513505
song,1,3back,alpha,P8,26.101002288288694
song,2,0back,theta,F3,28.865113786983944
song,2,0back,theta,F4,39.301520111664544
song,2,2back,theta,F3,61.96967119942383
song,2,2back,theta,F4,61.38947021008423
song,2,3back,theta,F3,69.83589294696847
song,2,3back,theta,F4,61.97990379496071
song,2,0back,alpha,P7,20.358993992589433
song,2,0back,alpha,P8,-29.73655712444118
song,2,2back,alpha,P7,-9.06727588273302
song,2,2back,alpha,P8,-27.95405226246687
song,2,3back,alpha,P7,27.5345183186026
song,2,3back,alpha,P8,20.85495078151985
song,3,0back,theta,F3,-1.5309242978747977
song,3,0back,theta,F4,-9.275257972897293
song,3,2back,theta,F3,-0.17055739348633026
song,3,2back,theta,F4,-17.865693368106502
song,3,3back,theta,F3,7.053528757758258
song,3,3back,theta,F4,6.291741287024702
song,3,0back,alpha,P7,20.147120345512153
song,3,0back,alpha,P8,49.0783883203451
song,3,2back,alpha,P7,-27.785571879529293
song,3,2back,alpha,P8,-19.437033979995384
song,3,3back,alpha,P7,13.65255782860301
song,3,3back,alpha,P8,24.114013982291066
