name,session,condition,alpha_theta_ratio,alpha_power,theta_power,theta_region,alpha_region
cho,1,rest,2.5372778357141867,1.9694548136939987e-12,7.762077869330543e-13,frontal,parietal
cho,1,0back,0.7125146437751629,6.30900633616025e-13,8.854563750062496e-13,frontal,parietal
cho,1,2back,0.8340827614790333,6.031653675640206e-13,7.231481040256251e-13,frontal,parietal
cho,1,3back,1.066396679167742,6.954502014704102e-13,6.521496316109752e-13,frontal,parietal
cho,2,rest,1.6300360115647654,2.8521850079543575e-12,1.7497680957467811e-12,frontal,parietal
cho,2,0back,1.342588411122972,7.825917959816695e-13,5.82897773806264e-13,frontal,parietal
cho,2,2back,1.2033594198867423,7.421192584317515e-13,6.167062360317903e-13,frontal,parietal
cho,2,3back,1.237688042259801,7.8710492067252e-13,6.359477459565698e-13,frontal,parietal
cho,3,rest,2.575981443072589,2.1688113732775114e-12,8.419359460488148e-13,frontal,parietal
cho,3,0back,1.0599275523549605,6.123585191836148e-13,5.777362026518405e-13,frontal,parietal
cho,3,2back,0.8428793709490964,6.004626938199844e-13,7.123945780567073e-13,frontal,parietal
cho,3,3back,0.7430840872761303,6.183705094829064e-13,8.321676107338304e-13,frontal,parietal
taek,1,rest,1.4125592527207973,1.5302302158928529e-12,1.083303382102665e-12,frontal,parietal
taek,1,0back,1.0544714523100596,1.2542923118094942e-12,1.1894985957767578e-12,frontal,parietal
taek,1,2back,1.6184501944919383,1.7175779794511795e-12,1.0612485854038649e-12,frontal,parietal
taek,1,3back,1.3971114224342036,1.5459239834725218e-12,1.1065144545014458e-12,frontal,parietal
taek,2,rest,3.3544784893204493,2.0522704006726157e-12,6.118001374003042e-13,frontal,parietal
taek,2,0back,2.387887298096804,1.8165595023282085e-12,7.607392123472679e-13,frontal,parietal
taek,2,2back,2.906797744097361,2.230825081562183e-12,7.674510846487925e-13,frontal,parietal
taek,2,3back,2.87192938830551,2.1388511399873916e-12,7.447436377429015e-13,frontal,parietal
taek,3,rest,0.8480908652951876,7.52765410787373e-13,8.875999513629528e-13,frontal,parietal
taek,3,0back,1.0936498668048737,7.468848943597767e-13,6.829287114913845e-13,frontal,parietal
taek,3,2back,0.8113625827921042,8.28249896583386e-13,1.0208135230160212e-12,frontal,parietal
taek,3,3back,1.2945124038308284,1.1735985022906688e-12,9.065950228191394e-13,frontal,parietal
choi,1,rest,0.15671516173879424,1.7341743249009756e-12,1.106577248595397e-11,frontal,parietal
choi,1,0back,0.0700349207407831,9.18902625223737e-13,1.312063489905025e-11,frontal,parietal
choi,1,2back,0.07026285731161244,4.114152274182134e-13,5.855372855015081e-12,frontal,parietal
choi,1,3back,0.08920260030488752,3.962047953656254e-13,4.441628315894697e-12,frontal,parietal
choi,2,rest,0.9236287781700354,1.694521102122292e-12,1.8346343706176067e-12,frontal,parietal
choi,2,0back,0.21010165349716264,5.082561718428334e-13,2.4190964867856084e-12,frontal,parietal
choi,2,2back,0.29703753637810765,4.456523008453636e-13,1.5003231789469192e-12,frontal,parietal
choi,2,3back,0.40494202776040805,4.647335725628413e-13,1.147654579429849e-12,frontal,parietal
choi,3,rest,0.7789456271306151,1.050184564586181e-12,1.3482129278454555e-12,frontal,parietal
choi,3,0back,0.04202384012130815,5.260128297980562e-13,1.2517010065706533e-11,frontal,parietal
choi,3,2back,0.5420225883535131,4.369225485784325e-13,8.060965686054891e-13,frontal,parietal
choi,3,3back,0.3589015684605727,4.661050473436851e-13,1.2986988308324691e-12,frontal,parietal
jung,1,rest,0.19774093152554204,5.76458740023864e-12,2.915222132193725e-11,frontal,parietal
jung,1,0back,0.3595410575087181,1.615618691487463e-12,4.4935582675374636e-12,frontal,parietal
jung,1,2back,0.25222785466158,1.5906652618946963e-12,6.306461528719455e-12,frontal,parietal
jung,1,3back,0.1671488774855805,2.085831978905953e-12,1.2478887147093718e-11,frontal,parietal
jung,2,rest,0.4477671410070422,3.062601341733338e-12,6.839718820915382e-12,frontal,parietal
jung,2,0back,0.31942831357870854,2.356256067660167e-12,7.376478438188214e-12,frontal,parietal
jung,2,2back,0.23959900571064965,1.5066987978438634e-12,6.288418407142388e-12,frontal,parietal
jung,2,3back,0.25891888892714415,2.2601800936485985e-12,8.72929782378519e-12,frontal,parietal
jung,3,rest,1.0273039862577225,3.0671303211872926e-12,2.9856112331076202e-12,frontal,parietal
jung,3,0back,1.2518765636219686,3.781880236973123e-12,3.020968957219926e-12,frontal,parietal
jung,3,2back,0.7156406720104781,1.954581494993963e-12,2.7312331054394642e-12,frontal,parietal
jung,3,3back,0.8322872149891637,2.0671139131617064e-12,2.483654531673444e-12,frontal,parietal
song,1,rest,1.9313028170774935,1.347024807774554e-12,6.97469498756758e-13,frontal,parietal
song,1,0back,2.063946719722362,1.3846161880182618e-12,6.708584939656375e-13,frontal,parietal
song,1,2back,2.335517062797919,1.6411131408795056e-12,7.026765794266874e-13,frontal,parietal
song,1,3back,1.3832885194785267,8.511524677206271e-13,6.153108738598476e-13,frontal,parietal
song,2,rest,0.8275288384686469,1.9775552743671293e-12,2.38971161177491e-12,frontal,parietal
song,2,0back,1.3056288545685173,1.872866370220202e-12,1.4344554071908474e-12,frontal,parietal
song,2,2back,3.318350569414237,2.2691865372576187e-12,6.838296586783418e-13,frontal,parietal
song,2,3back,2.41951034196452,1.4727687716218433e-12,6.087053012660527e-13,frontal,parietal
song,3,rest,2.3402398629090033,1.400705958679861e-12,5.985309373111577e-13,frontal,parietal
song,3,0back,1.5900364311253237,9.07691402867972e-13,5.708620161775586e-13,frontal,parietal
song,3,2back,2.806018147966087,1.7290670679656047e-12,6.161995314317197e-13,frontal,parietal
song,3,3back,2.1588934977352903,1.133244575132325e-12,5.249191663790338e-13,frontal,parietal
